Employee_ID,Age,Years_of_Experience,Training_Completion,Policy_Acknowledgment,Security_Clearance,Attendance_Rate,Performance_Score,Non_Compliance_Reason,Compliance_Status
1001,35,8,1,1,1,0.95,4.2,,1
1002,42,15,1,1,1,0.98,4.7,,1
1003,28,3,0,1,1,0.88,3.5,Missed mandatory training sessions,0
1004,39,12,1,1,1,0.92,4.1,,1
1005,31,5,1,0,1,0.85,3.8,Did not acknowledge updated policy,0
1006,45,20,1,1,1,0.97,4.5,,1
1007,33,7,1,1,0,0.91,4.0,Security clearance expired,0
1008,29,4,1,1,1,0.89,3.7,,1
1009,37,10,0,0,1,0.82,3.3,Multiple policy violations,0
1010,41,14,1,1,1,0.94,4.3,,1
1011,26,2,0,1,1,0.86,3.4,Incomplete training modules,0
1012,38,11,1,1,1,0.93,4.2,,1
1013,44,18,1,1,1,0.96,4.6,,1
1014,30,5,1,1,1,0.90,3.9,,1
1015,36,9,1,0,1,0.87,3.6,Failed to sign policy updates,0
1016,32,6,1,1,1,0.91,4.0,,1
1017,40,13,1,1,1,0.95,4.4,,1
1018,27,3,0,1,0,0.84,3.2,Training incomplete and security issues,0
1019,43,16,1,1,1,0.97,4.6,,1
1020,34,8,1,1,1,0.92,4.1,,1
1021,39,12,1,1,1,0.93,4.2,,1
1022,31,5,0,1,1,0.88,3.7,Failed to complete required training,0
1023,46,21,1,1,1,0.98,4.8,,1
1024,29,4,1,0,1,0.86,3.5,Policy acknowledgment missing,0
1025,35,9,1,1,1,0.94,4.3,,1
1026,42,15,1,1,1,0.96,4.5,,1
1027,28,3,1,1,1,0.89,3.8,,1
1028,37,10,1,1,0,0.90,4.0,Security clearance not renewed,0
1029,33,7,1,1,1,0.92,4.1,,1
1030,40,13,1,1,1,0.95,4.4,,1
1031,30,5,0,0,1,0.83,3.2,Multiple compliance issues,0
1032,44,17,1,1,1,0.97,4.7,,1
1033,36,9,1,1,1,0.93,4.2,,1
1034,32,6,1,1,1,0.91,4.0,,1
1035,38,11,1,0,1,0.89,3.8,Failed to acknowledge policy,0
1036,27,2,0,1,1,0.85,3.4,Training not completed,0
1037,41,14,1,1,1,0.96,4.5,,1
1038,34,8,1,1,1,0.92,4.1,,1
1039,43,16,1,1,1,0.97,4.6,,1
1040,29,4,1,1,1,0.90,3.9,,1
1041,35,9,1,1,1,0.94,4.3,,1
1042,31,5,0,1,0,0.87,3.6,Multiple compliance violations,0
1043,45,19,1,1,1,0.98,4.7,,1
1044,33,7,1,1,1,0.93,4.2,,1
1045,39,12,1,1,1,0.95,4.4,,1
1046,28,3,0,0,1,0.84,3.3,Failed training and policy acknowledgment,0
1047,42,15,1,1,1,0.96,4.5,,1
1048,36,10,1,1,1,0.93,4.2,,1
1049,30,5,1,1,1,0.91,4.0,,1
1050,44,18,1,1,1,0.97,4.6,,1
1051,32,6,1,0,1,0.88,3.7,Policy updates not acknowledged,0
1052,38,11,1,1,1,0.94,4.3,,1
1053,27,2,0,1,1,0.85,3.4,Incomplete training,0
1054,41,14,1,1,1,0.96,4.5,,1
1055,34,8,1,1,0,0.90,3.9,Security clearance issues,0
1056,43,17,1,1,1,0.97,4.6,,1
1057,29,4,1,1,1,0.91,4.0,,1
1058,35,9,1,1,1,0.94,4.3,,1
1059,40,13,1,1,1,0.95,4.4,,1
1060,31,5,0,0,1,0.86,3.5,Multiple compliance failures,0
1061,46,20,1,1,1,0.98,4.8,,1
1062,33,7,1,1,1,0.93,4.2,,1
1063,37,10,1,1,1,0.94,4.3,,1
1064,28,3,0,1,0,0.85,3.4,Training and security issues,0
1065,42,15,1,1,1,0.96,4.5,,1
1066,36,9,1,1,1,0.93,4.2,,1
1067,30,5,1,0,1,0.89,3.8,Policy not acknowledged,0
1068,44,18,1,1,1,0.97,4.6,,1
1069,32,6,1,1,1,0.92,4.1,,1
1070,39,12,1,1,1,0.95,4.4,,1
1071,27,2,0,1,1,0.84,3.3,Training requirements not met,0
1072,41,14,1,1,1,0.96,4.5,,1
1073,34,8,1,1,1,0.93,4.2,,1
1074,43,16,1,1,1,0.97,4.6,,1
1075,29,4,0,0,1,0.85,3.4,Multiple compliance issues,0
1076,35,9,1,1,1,0.94,4.3,,1
1077,40,13,1,1,1,0.95,4.4,,1
1078,31,5,1,1,0,0.88,3.7,Security clearance expired,0
1079,45,19,1,1,1,0.98,4.7,,1
1080,33,7,1,1,1,0.93,4.2,,1
1081,37,10,1,0,1,0.90,3.9,Policy updates not acknowledged,0
1082,28,3,0,1,1,0.86,3.5,Incomplete training,0
1083,42,15,1,1,1,0.96,4.5,,1
1084,36,9,1,1,1,0.93,4.2,,1
1085,30,5,1,1,1,0.91,4.0,,1
1086,44,18,1,1,1,0.97,4.6,,1
1087,32,6,0,0,1,0.87,3.6,Multiple compliance failures,0
1088,39,12,1,1,1,0.95,4.4,,1
1089,27,2,0,1,0,0.84,3.3,Training and security issues,0
1090,41,14,1,1,1,0.96,4.5,,1
1091,34,8,1,1,1,0.93,4.2,,1
1092,43,17,1,1,1,0.97,4.6,,1
1093,29,4,1,0,1,0.88,3.7,Policy not acknowledged,0
1094,35,9,1,1,1,0.94,4.3,,1
1095,40,13,1,1,1,0.95,4.4,,1
1096,31,5,0,1,1,0.87,3.6,Training requirements not met,0
1097,46,20,1,1,1,0.98,4.8,,1
1098,33,7,1,1,1,0.93,4.2,,1
1099,37,10,1,1,0,0.91,4.0,Security clearance issues,0
1100,28,3,0,0,1,0.85,3.4,Multiple compliance issues,0